"corso_codice","corso_descrizione","scuola_long","annopubblicazione","p_fuoriregione","p_laureatiincorso","p_esperienzaestero","p_soddisfatti","p_soddisfatti_italia","p_lavorano","p_lavorano_italia","p_studiano","p_studiano_italia","annoaccademico","immatricolabile","url","campus","sededidattica","scuola","tipologia","durata","internazionale","internazionale_titolo","internazionale_lingua","lingue","accesso"
0,"Giurisprudenza","Giurisprudenza",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Giurisprudenza","Scuola",0,"img/graduate.svg","","","","" 
1,"Scienze","Scienze",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Scienze","Scuola",0,"img/flask.svg","","","",""
2,"Farmacia, Biotecnologie e Scienze motorie","Farmacia, Biotecnologie e Scienze motorie",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Farmacia, Biotecnologie e Scienze motorie","Scuola",0,"img/book.svg","","","",""
3,"Economia, Management e Statistica","Economia, Management e Statistica",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Economia, Management e Statistica","Scuola",0,"img/form.svg","","","",""
4,"Scienze politiche","Scienze politiche",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Scienze politiche","Scuola",0,"img/contacts.svg","","","",""
5,"Lingue e Letterature, Traduzione e Interpretazione","Lingue e Letterature, Traduzione e Interpretazione",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Lingue e Letterature, Traduzione e Interpretazione","Scuola",0,"img/headphones.svg","","","",""
6,"Ingegneria e Architettura","Ingegneria e Architettura",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Ingegneria e Architettura","Scuola",0,"img/office.svg","","","",""
7,"Medicina e Chirurgia","Medicina e Chirurgia",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Medicina e Chirurgia","Scuola",0,"img/doctor.svg","","","",""
8,"Lettere e Beni culturali","Lettere e Beni culturali",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Lettere e Beni culturali","Scuola",0,"img/notebook.svg","","","",""
9,"Agraria e Medicina Veterinaria","Agraria e Medicina Veterinaria",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Agraria e Medicina Veterinaria","Scuola",0,"img/sprout.svg","","","",""
10,"Psicologia e Scienze della Formazione","Psicologia e Scienze della Formazione",2017,2,2,2,2,2,2,2,2,2,"2016/2017","True","http:...","Bologna","Bologna","Psicologia e Scienze della Formazione","Scuola",0,"img/solution.svg","","","",""
659,"Giurisprudenza","Giurisprudenza",2017,0.62,0.36,0.17,0.89,0.87,0.22,0.19,0.53,0.47,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0659","Bologna","Bologna","Giurisprudenza","Laurea Magistrale a ciclo unico",5,"True","Titolo multiplo","","Italiano","libero accesso con verifica delle conoscenze"
660,"Giurisprudenza","Giurisprudenza",2017,0.14,0.28,0.04,0.96,0.87,0.26,0.19,0.39,0.47,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0660","Ravenna","Ravenna","Giurisprudenza","Laurea Magistrale a ciclo unico",5,"True","Titolo multiplo","","Italiano","libero accesso con verifica delle conoscenze"
8004,"Astronomia","Scienze",2017,0.5,0.29,NA,0.89,0.91,0.13,0.24,0.87,0.72,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8004","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8005,"Biotecnologie","Farmacia, Biotecnologie e Scienze motorie",2017,0.3,0.69,0.02,0.95,0.91,0.19,0.17,0.76,0.8,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8005","Bologna","Bologna","Farmacia, Biotecnologie e Scienze motorie","Laurea",3,"False","","","Italiano","numero chiuso"
8006,"Chimica e chimica dei materiali","Scienze",2017,0.57,0.52,0.08,0.96,0.94,0.18,0.22,0.79,0.75,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8006","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8007,"Fisica","Scienze",2017,0.38,0.33,NA,0.91,0.91,0.12,0.24,0.85,0.72,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8007","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8009,"Informatica","Scienze",2017,0.43,0.26,0.02,0.91,0.91,0.59,0.57,0.3,0.37,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8009","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8010,"Matematica","Scienze",2017,0.43,0.39,0.09,0.85,0.92,0.22,0.23,0.78,0.75,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8010","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8011,"Scienze ambientali","Scienze",2017,0.3,0.38,0.04,0.89,0.9,0.37,0.26,0.58,0.67,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8011","Ravenna","Ravenna","Scienze","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8012,"Scienze biologiche","Scienze",2017,0.3,0.29,0.06,0.89,0.9,0.25,0.16,0.65,0.81,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8012","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8013,"Scienze e tecnologie informatiche","Scienze",2017,NA,NA,NA,0.8,0.91,0.62,0.57,0.36,0.37,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8013","Cesena","","Scienze","Laurea",3,"True","Titolo multiplo","","Italiano","numero chiuso"
8014,"Informatica per il management","Scienze",2017,0.41,0.1,0.1,0.9,0.91,0.71,0.57,0.26,0.37,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8014","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8015,"Scienze geologiche","Scienze",2017,0.42,0.28,NA,0.95,0.94,0.19,0.18,0.81,0.76,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8015","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8016,"Scienze naturali","Scienze",2017,0.4,0.14,NA,0.93,0.9,0.12,0.26,0.85,0.67,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8016","Bologna","Bologna","Scienze","Laurea",3,"False","","","Italiano","numero chiuso"
8018,"Astrofisica e cosmologia","Scienze",2017,0.65,0.43,0.03,0.93,0.95,0.5,0.22,0.25,0.65,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8018","Bologna","Bologna","Scienze","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8020,"Bioinformatics","Scienze",2017,0.91,0.59,NA,0.88,0.91,0.33,0.31,0.67,0.24,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8020","Bologna","Bologna","Scienze","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera","Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
8021,"Biologia molecolare e cellulare","Farmacia, Biotecnologie e Scienze motorie",2017,0.83,0.79,0.15,1,0.91,0.17,0.31,0.5,0.24,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8021","Bologna","Bologna","Farmacia, Biotecnologie e Scienze motorie","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8022,"Biotecnologie molecolari e industriali","Farmacia, Biotecnologie e Scienze motorie",2017,0.63,0.81,0.17,0.91,0.91,0.3,0.37,0.41,0.28,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8022","Bologna","Bologna","Farmacia, Biotecnologie e Scienze motorie","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
